dataset,model,condition,bias,split,seed,rmse,mae,r2,pearson_r,train_model_type,train_n_train,train_best_epoch,train_best_val_loss,train_training_time_seconds,train_total_epochs
solubility,lgbm_morgan,unbiased,unbiased,random,42,1.4993985681398907,1.1750647610580873,0.5722763358500325,0.7573983361535024,fingerprint,6866,,,,
solubility,lgbm_morgan,unbiased,unbiased,random,123,1.5206900132133272,1.1946515677527139,0.5600427460331245,0.7513998071137526,fingerprint,6866,,,,
solubility,lgbm_morgan,unbiased,unbiased,random,7,1.5383214918293586,1.2101992260144572,0.5497815274217598,0.7433167993791528,fingerprint,6866,,,,
solubility,lgbm_descriptors,unbiased,unbiased,random,42,1.2754590644520316,0.8929188505122209,0.690498937520484,0.8320251427363372,fingerprint,6866,,,,
solubility,lgbm_descriptors,unbiased,unbiased,random,123,1.2818943944911119,0.897981034963366,0.6873678826602834,0.8298051201686876,fingerprint,6866,,,,
solubility,lgbm_descriptors,unbiased,unbiased,random,7,1.2738426033366101,0.8971159515281544,0.6912829366619536,0.8321610608334684,fingerprint,6866,,,,
solubility,gnn,unbiased,unbiased,random,42,1.1488840678399244,0.8268736730506989,0.7488798807964858,0.8664847308403169,gnn,6866,52.0,0.9378912251765333,199.98282766342163,68.0
solubility,gnn,unbiased,unbiased,random,123,1.1506602541586899,0.8164979391390668,0.7481028121247997,0.8660567101657837,gnn,6866,56.0,1.3463530374637114,217.36207818984985,72.0
solubility,gnn,unbiased,unbiased,random,7,1.1346539548343912,0.8091612035968161,0.7550621183851038,0.8700999144519528,gnn,6866,84.0,1.0074085355430764,266.43000888824463,100.0
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,42,1.4993985681398907,1.1750647610580873,0.5722763358500325,0.7573983361535024,fingerprint,6866,,,,
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,123,1.5206900132133272,1.1946515677527139,0.5600427460331245,0.7513998071137526,fingerprint,6866,,,,
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,7,1.5383214918293586,1.2101992260144572,0.5497815274217598,0.7433167993791528,fingerprint,6866,,,,
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,42,1.2754590644520316,0.8929188505122209,0.690498937520484,0.8320251427363372,fingerprint,6866,,,,
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,123,1.2818943944911119,0.897981034963366,0.6873678826602834,0.8298051201686876,fingerprint,6866,,,,
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,7,1.2738426033366101,0.8971159515281544,0.6912829366619536,0.8321610608334684,fingerprint,6866,,,,
solubility,gnn,unbiased_scaffold,unbiased,scaffold,42,1.149521860710722,0.8187428065040737,0.7486009891612708,0.8654920478082437,gnn,6866,52.0,0.9519730526318387,179.96708822250366,68.0
solubility,gnn,unbiased_scaffold,unbiased,scaffold,123,1.177923347819913,0.8508326086431315,0.7360247831973941,0.858265122777571,gnn,6866,26.0,1.3895088557809043,118.13257074356079,42.0
